iter	Passed	Remaining
748	3377	10149
749	3382	10147
750	3386	10142
751	3390	10135
752	3394	10129
753	3399	10125
754	3404	10122
755	3408	10118
756	3412	10110
757	3416	10104
758	3418	10094
759	3422	10088
760	3426	10080
761	3430	10073
762	3433	10065
763	3436	10058
764	3440	10050
765	3443	10041
766	3447	10036
767	3452	10033
768	3456	10029
769	3460	10022
770	3467	10025
771	3471	10019
772	3475	10014
773	3480	10008
774	3484	10003
775	3488	9997
776	3492	9991
777	3497	9989
778	3501	9983
779	3505	9976
780	3508	9968
781	3512	9963
782	3516	9956
783	3520	9949
784	3523	9943
785	3529	9941
786	3533	9935
787	3538	9933
788	3542	9925
789	3546	9920
790	3549	9912
791	3554	9908
792	3557	9900
793	3562	9897
794	3565	9890
795	3570	9885
796	3573	9878
797	3578	9873
798	3581	9867
799	3585	9860
800	3589	9853
801	3592	9845
802	3595	9838
803	3599	9831
804	3603	9824
805	3607	9819
806	3610	9811
807	3614	9804
808	3622	9811
809	3626	9803
810	3630	9800
811	3635	9796
812	3639	9789
813	3643	9783
814	3647	9778
815	3652	9775
816	3655	9767
817	3659	9762
818	3665	9760
819	3669	9755
820	3673	9748
821	3677	9744
822	3681	9737
823	3683	9726
824	3687	9721
825	3691	9715
826	3695	9708
827	3699	9703
828	3702	9696
829	3706	9690
830	3710	9684
831	3714	9678
832	3718	9673
833	3722	9668
834	3727	9665
835	3731	9659
836	3735	9654
837	3738	9646
838	3743	9643
839	3747	9636
840	3751	9631
841	3754	9623
842	3758	9616
843	3761	9607
844	3764	9601
845	3769	9596
846	3772	9590
847	3775	9581
848	3779	9576
849	3782	9568
850	3786	9562
851	3790	9555
852	3793	9548
853	3796	9539
854	3800	9534
855	3803	9527
856	3807	9521
857	3810	9513
858	3815	9509
859	3818	9501
860	3821	9492
861	3825	9488
862	3828	9479
863	3832	9474
864	3836	9469
865	3840	9462
866	3843	9456
867	3847	9450
868	3851	9444
869	3855	9438
870	3859	9432
871	3862	9426
872	3865	9418
873	3869	9412
874	3872	9405
875	3876	9399
876	3878	9389
877	3882	9382
878	3885	9375
879	3889	9371
880	3893	9365
881	3897	9359
882	3901	9353
883	3905	9348
884	3908	9340
885	3912	9334
886	3916	9330
887	3920	9324
888	3923	9317
889	3926	9309
890	3931	9306
891	3935	9300
892	3939	9295
893	3943	9290
894	3947	9283
895	3950	9277
896	3954	9272
897	3958	9264
898	3960	9256
899	3963	9249
900	3968	9244
901	3972	9239
902	3976	9234
903	3980	9228
904	3983	9222
905	3987	9216
906	3990	9208
907	3995	9204
908	3998	9197
909	4001	9191
910	4006	9187
911	4009	9179
912	4013	9174
913	4017	9168
914	4021	9163
915	4024	9156
916	4027	9149
917	4031	9144
918	4035	9137
919	4038	9129
920	4041	9123
921	4045	9118
922	4048	9110
923	4052	9104
924	4055	9097
925	4059	9091
926	4061	9082
927	4064	9075
928	4068	9068
929	4072	9063
930	4074	9055
931	4077	9048
932	4080	9040
933	4083	9032
934	4086	9025
935	4089	9018
936	4093	9013
937	4097	9007
938	4100	9000
939	4104	8995
940	4108	8989
941	4110	8980
942	4113	8973
943	4116	8965
944	4120	8960
945	4123	8953
946	4127	8947
947	4132	8943
948	4135	8937
949	4139	8931
950	4142	8924
951	4145	8917
952	4149	8912
953	4152	8905
954	4155	8899
955	4160	8895
956	4164	8890
957	4167	8884
958	4172	8879
959	4176	8875
960	4179	8868
961	4183	8862
962	4186	8854
963	4189	8848
964	4193	8843
965	4197	8837
966	4200	8830
967	4202	8822
968	4206	8816
969	4210	8811
970	4213	8805
971	4217	8799
972	4221	8793
973	4225	8789
974	4229	8784
975	4232	8777
976	4235	8771
977	4240	8766
978	4243	8759
979	4246	8753
980	4250	8747
981	4253	8741
982	4256	8734
983	4260	8728
984	4263	8722
985	4267	8715
986	4270	8709
987	4274	8703
988	4278	8698
989	4281	8692
990	4284	8685
991	4288	8680
992	4292	8675
993	4295	8667
994	4297	8660
995	4300	8652
996	4303	8644
997	4307	8640
998	4312	8638
999	4315	8631
1000	4318	8624
1001	4321	8617
1002	4324	8610
1003	4327	8604
1004	4331	8598
1005	4334	8591
1006	4338	8585
1007	4341	8580
1008	4345	8575
1009	4349	8570
1010	4353	8564
1011	4357	8559
1012	4361	8554
1013	4364	8549
1014	4368	8543
1015	4371	8537
1016	4374	8530
1017	4378	8524
1018	4382	8519
1019	4385	8513
1020	4389	8507
1021	4392	8501
1022	4395	8494
1023	4399	8489
1024	4403	8485
1025	4407	8480
1026	4411	8474
1027	4413	8467
1028	4416	8459
